Title	AvgRating	UserCount
Ulysses (Ulisse) (1954)	5.0	1
Lured (1947)	5.0	1
Follow the Bitch (1998)	5.0	1
Bittersweet Motel (2000)	5.0	1
Song of Freedom (1936)	5.0	1
One Little Indian (1973)	5.0	1
Smashing Time (1967)	5.0	2
Schlafes Bruder (Brother of Sleep) (1995)	5.0	1
Gate of Heavenly Peace, The (1995)	5.0	3
Baby, The (1973)	5.0	1
I Am Cuba (Soy Cuba/Ya Kuba) (1964)	4.8	5
Lamerica (1994)	4.75	8
Apple, The (Sib) (1998)	4.666666666666667	9
Sanjuro (1962)	4.608695652173913	69
Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)	4.560509554140127	628
Shawshank Redemption, The (1994)	4.554557700942973	2227
Godfather, The (1972)	4.524966261808367	2223
Close Shave, A (1995)	4.52054794520548	657
Usual Suspects, The (1995)	4.517106001121705	1783
Schindler's List (1993)	4.510416666666667	2304
Wrong Trousers, The (1993)	4.507936507936508	882
Dry Cleaning (Nettoyage à sec) (1997)	4.5	2
Inheritors, The (Die Siebtelbauern) (1998)	4.5	2
Mamma Roma (1962)	4.5	2
Bells, The (1926)	4.5	2
Dangerous Game (1993)	4.5	2
Hour of the Pig, The (1993)	4.5	2
Callejón de los milagros, El (1995)	4.5	2
Skipped Parts (2000)	4.5	2
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)	4.491489361702127	470
Raiders of the Lost Ark (1981)	4.477724741447892	2514
Rear Window (1954)	4.476190476190476	1050
Paths of Glory (1957)	4.473913043478261	230
Star Wars: Episode IV - A New Hope (1977)	4.453694416583082	2991
Third Man, The (1949)	4.452083333333333	480
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)	4.4498902706656915	1367
For All Mankind (1989)	4.444444444444445	27
Wallace & Gromit: The Best of Aardman Animation (1996)	4.426940639269406	438
To Kill a Mockingbird (1962)	4.425646551724138	928
Double Indemnity (1944)	4.415607985480944	551
Casablanca (1942)	4.412822049131217	1669
World of Apu, The (Apur Sansar) (1959)	4.410714285714286	56
Sixth Sense, The (1999)	4.406262708418057	2459
Yojimbo (1961)	4.404651162790698	215
Pather Panchali (1955)	4.404255319148936	47
Lawrence of Arabia (1962)	4.401925391095066	831
Return with Honor (1998)	4.4	5
Maltese Falcon, The (1941)	4.395973154362416	1043
One Flew Over the Cuckoo's Nest (1975)	4.390724637681159	1725
Citizen Kane (1941)	4.388888888888889	1116
City Lights (1931)	4.387453874538745	271
Bridge on the River Kwai, The (1957)	4.386993603411514	938
North by Northwest (1959)	4.38403041825095	1315
Great Escape, The (1963)	4.376436781609195	696
General, The (1927)	4.368932038834951	206
Grand Day Out, A (1992)	4.361522198731501	473
Godfather: Part II, The (1974)	4.357565011820331	1692
Hearts and Minds (1996)	4.357142857142857	14
Bicycle Thief, The (Ladri di biciclette) (1948)	4.357142857142857	252
Silence of the Lambs, The (1991)	4.3518231186966645	2578
To Live (Huozhe) (1994)	4.344262295081967	61
Grand Illusion (Grande illusion, La) (1937)	4.33939393939394	165
Chinatown (1974)	4.339240506329114	1185
Saving Private Ryan (1998)	4.337353938937053	2653
Creature Comforts (1990)	4.335766423357664	274
Monty Python and the Holy Grail (1974)	4.335209505941213	1599
Jupiter's Wife (1994)	4.333333333333333	12
Manchurian Candidate, The (1962)	4.333333333333333	765
Soft Fruit (1999)	4.333333333333333	9
Life Is Beautiful (La Vita è bella) (1997)	4.329861111111111	1152
Dersu Uzala (1974)	4.326086956521739	92
Jean de Florette (1986)	4.324074074074074	216
When We Were Kings (1996)	4.32129963898917	277
400 Blows, The (Les Quatre cents coups) (1959)	4.320855614973262	187
Sting, The (1973)	4.320305052430887	1049
American Beauty (1999)	4.3173862310385065	3428
Matrix, The (1999)	4.315830115830116	2590
Big Sleep, The (1946)	4.312384473197782	541
Celebration, The (Festen) (1998)	4.3076923076923075	117
Strangers on a Train (1951)	4.304979253112033	482
Princess Bride, The (1987)	4.3037100949094045	2318
Boat, The (Das Boot) (1981)	4.302697302697303	1001
M (1931)	4.3019480519480515	308
Philadelphia Story, The (1940)	4.3006872852233675	582
Some Like It Hot (1959)	4.300480769230769	832
Time of the Gypsies (Dom za vesanje) (1989)	4.3	10
West Beirut (West Beyrouth) (1998)	4.3	10
It's a Wonderful Life (1946)	4.299039780521262	729
12 Angry Men (1957)	4.295454545454546	616
Notorious (1946)	4.29438202247191	445
Star Wars: Episode V - The Empire Strikes Back (1980)	4.292976588628763	2990
Treasure of the Sierra Madre, The (1948)	4.289183222958058	453
Palm Beach Story, The (1942)	4.288461538461538	104
Cinema Paradiso (1988)	4.287804878048781	615
Henry V (1989)	4.286384976525822	426
Central Station (Central do Brasil) (1998)	4.283720930232558	215
Kagemusha (1980)	4.283687943262412	141
Singin' in the Rain (1952)	4.2836218375499335	751
It Happened One Night (1934)	4.280748663101604	374
Inherit the Wind (1960)	4.279850746268656	268
Pulp Fiction (1994)	4.278212805158913	2171
GoodFellas (1990)	4.275196137598069	1657
Decline of Western Civilization, The (1981)	4.274193548387097	62
Blade Runner (1982)	4.273333333333333	1800
Vertigo (1958)	4.27292817679558	905
Shadow of a Doubt (1943)	4.2703862660944205	233
On the Waterfront (1954)	4.269749518304431	519
Ran (1985)	4.26890756302521	357
Patton (1970)	4.266666666666667	645
Manon of the Spring (Manon des sources) (1986)	4.259090909090909	220
Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)	4.258064516129032	62
All About Eve (1950)	4.255583126550868	403
Fargo (1996)	4.254675686430561	2513
Seven Days in May (1964)	4.254545454545455	165
Cool Hand Luke (1967)	4.253763440860215	930
Thin Blue Line, The (1988)	4.25278810408922	269
Amadeus (1984)	4.251808972503618	1382
African Queen, The (1951)	4.251655629139073	1057
Young Frankenstein (1974)	4.250628667225482	1193
Window to Paris (1994)	4.25	8
Eighth Day, The (Le Huitième jour ) (1996)	4.25	12
Ed's Next Move (1996)	4.25	8
Before the Rain (Pred dozhdot) (1994)	4.25	28
Conversation, The (1974)	4.249448123620309	453
His Girl Friday (1940)	4.249370277078086	397
Killing Fields, The (1984)	4.248633879781421	732
Wizard of Oz, The (1939)	4.247962747380675	1718
Graduate, The (1967)	4.245836637589215	1261
Some Folks Call It a Sling Blade (1993)	4.245098039215686	306
Apocalypse Now (1979)	4.243197278911564	1176
Mr. Smith Goes to Washington (1939)	4.240208877284595	383
Hustler, The (1961)	4.24	450
Thin Man, The (1934)	4.239726027397261	292
Christmas Story, A (1983)	4.238905325443787	1352
Modern Times (1936)	4.2360655737704915	305
Braveheart (1995)	4.234957020057307	2443
Stop Making Sense (1984)	4.2343096234309625	239
Man for All Seasons, A (1966)	4.232876712328767	219
Anatomy of a Murder (1959)	4.231155778894473	199
Seventh Seal, The (Sjunde inseglet, Det) (1957)	4.230769230769231	299
Stalag 17 (1953)	4.228426395939087	394
Conformist, The (Il Conformista) (1970)	4.228070175438597	57
Three Colors: Red (1994)	4.227544910179641	334
War Room, The (1993)	4.2272727272727275	132
42 Up (1998)	4.2272727272727275	88
American History X (1998)	4.2265625	640
Almost Famous (2000)	4.22635814889336	994
Streetcar Named Desire, A (1951)	4.225672877846791	483
Run Lola Run (Lola rennt) (1998)	4.224813432835821	1072
King of Masks, The (Bian Lian) (1996)	4.223880597014926	67
L.A. Confidential (1997)	4.219405594405594	2288
Toy Story 2 (1999)	4.218927444794953	1585
Psycho (1960)	4.218527315914489	1263
Blood Simple (1984)	4.218152866242038	628
Roman Holiday (1953)	4.216470588235294	425
Touch of Evil (1958)	4.215953307392996	514
Butch Cassidy and the Sundance Kid (1969)	4.215644820295983	1419
Paradise Lost: The Child Murders at Robin Hood Hills (1996)	4.213836477987422	159
Duck Soup (1933)	4.21043771043771	594
Sling Blade (1996)	4.208156329651657	1177
Nights of Cabiria (Le Notti di Cabiria) (1957)	4.207207207207207	111
Rebecca (1940)	4.204663212435233	386
Face in the Crowd, A (1957)	4.202702702702703	74
Laura (1944)	4.2020547945205475	292
Nénette et Boni (1996)	4.2	5
Pawnbroker, The (1965)	4.198717948717949	156
Killer, The (Die xue shuang xiong) (1989)	4.19672131147541	244
All Quiet on the Western Front (1930)	4.1940298507462686	268
Glory (1989)	4.193345323741007	1112
Lady Eve, The (1941)	4.1931034482758625	145
